Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.760	3.296	12.842	20.430
2	3.093	2.947	23.408	26.120
3	2.714	2.893	30.456	28.360
4	2.491	2.614	34.768	33.190
5	2.305	2.522	38.622	36.380
6	2.195	2.362	40.948	37.670
7	2.093	2.761	43.082	32.520
8	2.028	2.614	44.788	35.930
9	1.981	2.180	45.872	42.770
10	1.930	2.191	46.796	42.070
11	1.885	2.270	48.112	41.380
12	1.835	2.158	49.216	43.390
13	1.805	2.728	49.962	35.380
14	1.781	2.446	50.680	39.360
15	1.761	2.562	51.062	39.010
16	1.728	2.228	51.820	43.160
17	1.715	2.897	52.256	37.010
18	1.689	2.176	53.120	45.130
19	1.669	2.176	53.358	44.520
20	1.654	1.905	53.560	48.180
21	1.637	2.364	53.994	43.760
22	1.612	1.995	54.442	47.530
23	1.614	1.961	54.720	48.140
24	1.597	1.964	54.916	47.690
25	1.587	1.869	55.188	49.680
26	1.580	1.921	55.312	48.560
27	1.557	1.996	56.096	47.510
28	1.553	1.965	55.986	48.760
29	1.548	2.035	56.222	47.920
30	1.553	2.087	56.310	46.000
31	1.536	1.976	56.562	48.480
32	1.106	1.172	68.016	65.690
33	0.960	1.148	71.666	66.730
34	0.902	1.129	73.106	67.470
35	0.873	1.138	73.834	67.210
36	0.840	1.122	74.846	67.490
37	0.810	1.109	75.506	67.980
38	0.789	1.114	76.060	68.010
39	0.766	1.114	76.774	68.640
40	0.745	1.132	77.420	68.080
41	0.733	1.130	77.694	68.520
42	0.714	1.131	78.240	68.130
43	0.702	1.157	78.540	68.080
44	0.690	1.179	78.972	68.180
45	0.676	1.177	79.180	67.930
46	0.668	1.176	79.474	68.140
47	0.556	1.064	83.264	70.540
48	0.513	1.057	84.594	70.910
49	0.494	1.060	85.176	70.630
50	0.490	1.069	85.180	70.870
51	0.478	1.079	85.752	70.770
52	0.475	1.079	85.624	70.870
53	0.466	1.086	86.028	70.710
54	0.459	1.083	86.196	70.860
55	0.452	1.097	86.328	70.500
56	0.447	1.093	86.550	70.650
57	0.443	1.100	86.546	70.740
58	0.432	1.100	86.968	70.840
59	0.429	1.111	87.086	70.640
60	0.426	1.108	87.184	70.590
