Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.466	1.947	17.306	22.550
2	1.876	1.714	27.786	33.750
3	1.641	1.509	37.100	42.470
4	1.438	1.498	46.128	46.560
5	1.274	1.338	52.924	52.300
6	1.120	1.152	59.374	59.250
7	0.996	1.040	64.236	62.340
8	0.902	0.872	67.824	69.490
9	0.822	0.827	70.932	71.040
10	0.758	0.921	73.554	68.110
11	0.713	1.012	75.110	65.270
12	0.674	1.259	76.260	59.870
13	0.650	0.790	77.320	73.830
14	0.617	0.858	78.780	71.990
15	0.592	0.794	79.494	73.500
16	0.566	1.152	80.450	67.180
17	0.537	0.817	81.466	73.970
18	0.531	0.668	81.544	78.140
19	0.508	0.676	82.422	77.540
20	0.490	0.753	83.128	73.440
21	0.488	0.807	83.290	74.080
22	0.473	0.639	83.774	78.530
23	0.461	0.764	84.116	76.270
24	0.456	0.690	84.356	76.560
25	0.448	0.670	84.550	78.250
26	0.446	0.586	84.592	79.970
27	0.439	0.713	85.020	77.230
28	0.434	0.528	85.168	82.120
29	0.430	0.724	85.174	76.490
30	0.422	0.690	85.566	77.090
31	0.420	1.568	85.388	56.740
32	0.256	0.257	91.410	91.140
33	0.194	0.253	93.380	91.300
34	0.172	0.248	94.202	91.360
35	0.155	0.244	94.744	91.510
36	0.143	0.243	95.034	91.820
37	0.134	0.238	95.458	92.090
38	0.122	0.242	95.818	91.800
39	0.111	0.243	96.226	92.080
40	0.106	0.258	96.320	91.810
41	0.098	0.258	96.520	91.940
42	0.093	0.255	96.876	92.040
43	0.092	0.251	96.800	92.110
44	0.087	0.278	96.932	91.760
45	0.081	0.241	97.160	92.470
46	0.082	0.271	97.136	91.650
47	0.081	0.294	97.216	90.970
48	0.071	0.278	97.622	92.420
49	0.072	0.323	97.528	90.590
50	0.074	0.282	97.468	91.910
51	0.069	0.255	97.652	92.660
52	0.039	0.229	98.830	93.570
53	0.029	0.230	99.192	93.570
54	0.025	0.228	99.390	93.670
55	0.023	0.230	99.434	93.770
56	0.021	0.233	99.482	93.810
57	0.018	0.232	99.584	93.550
58	0.017	0.235	99.604	93.820
59	0.017	0.236	99.572	93.820
60	0.016	0.237	99.594	93.620
