0	3.909	12.220
1	3.135	22.886
2	2.741	30.128
3	2.461	35.674
4	2.239	40.410
5	2.067	43.838
6	1.922	47.338
7	1.810	49.902
8	1.738	51.774
9	1.667	53.314
10	1.612	54.784
11	1.580	55.616
12	1.532	56.744
13	1.505	57.398
14	1.480	58.130
15	1.448	58.874
16	1.426	59.226
17	1.399	60.194
18	1.361	61.126
19	1.369	60.834
20	1.336	61.626
21	1.316	62.254
22	1.302	62.558
23	1.289	62.954
24	1.266	63.536
25	1.257	63.848
26	1.243	64.090
27	1.225	64.520
28	1.215	64.790
29	1.204	65.166
30	1.202	65.172
31	0.714	78.878
32	0.550	83.368
33	0.482	85.316
34	0.419	87.312
35	0.376	88.502
36	0.334	89.770
37	0.298	90.840
38	0.262	92.060
39	0.229	93.248
40	0.209	93.806
41	0.179	94.686
42	0.166	95.238
43	0.149	95.708
44	0.138	96.110
45	0.133	96.222
46	0.122	96.602
47	0.108	97.092
48	0.106	97.130
49	0.099	97.332
50	0.095	97.504
51	0.054	98.886
52	0.035	99.454
53	0.029	99.582
54	0.025	99.666
55	0.023	99.742
56	0.021	99.768
57	0.019	99.764
58	0.019	99.790
59	0.018	99.802
