0	2.953	16.508
1	1.912	26.272
2	1.675	36.716
3	1.434	46.902
4	1.230	54.972
5	1.031	62.850
6	0.881	68.910
7	0.777	72.948
8	0.708	75.412
9	0.642	77.830
10	0.591	79.490
11	0.558	80.804
12	0.534	81.574
13	0.520	82.236
14	0.500	82.756
15	0.497	83.052
16	0.477	83.674
17	0.477	83.446
18	0.466	83.894
19	0.452	84.608
20	0.452	84.406
21	0.444	84.850
22	0.431	85.302
23	0.431	85.318
24	0.427	85.358
25	0.420	85.514
26	0.416	85.690
27	0.409	86.002
28	0.410	85.890
29	0.407	86.056
30	0.402	86.166
31	0.232	92.304
32	0.174	94.022
33	0.152	94.864
34	0.135	95.358
35	0.125	95.748
36	0.111	96.266
37	0.105	96.386
38	0.097	96.628
39	0.091	96.874
40	0.083	97.202
41	0.079	97.200
42	0.073	97.616
43	0.074	97.502
44	0.067	97.760
45	0.066	97.792
46	0.064	97.806
47	0.062	97.936
48	0.062	97.812
49	0.060	98.004
50	0.061	97.906
51	0.034	98.920
52	0.022	99.366
53	0.020	99.444
54	0.018	99.544
55	0.015	99.636
56	0.015	99.672
57	0.014	99.680
58	0.013	99.710
59	0.010	99.794
