0	5.062	15.092
1	2.032	23.176
2	1.846	28.926
3	1.708	34.544
4	1.568	40.850
5	1.412	47.348
6	1.258	53.698
7	1.156	57.546
8	1.056	61.820
9	0.967	65.478
10	0.896	67.910
11	0.844	70.056
12	0.799	71.914
13	0.749	73.686
14	0.720	74.660
15	0.678	76.256
16	0.647	77.342
17	0.627	78.216
18	0.600	79.154
19	0.577	80.060
20	0.564	80.566
21	0.549	81.084
22	0.532	81.654
23	0.523	81.840
24	0.512	82.362
25	0.511	82.508
26	0.500	82.868
27	0.489	83.176
28	0.485	83.272
29	0.482	83.434
30	0.471	83.980
31	0.301	89.938
32	0.243	91.560
33	0.222	92.320
34	0.207	92.794
35	0.192	93.468
36	0.181	93.646
37	0.175	94.022
38	0.169	94.120
39	0.157	94.490
40	0.147	94.854
41	0.143	95.028
42	0.138	95.162
43	0.136	95.376
44	0.128	95.534
45	0.126	95.592
46	0.128	95.578
47	0.119	95.804
48	0.118	95.890
49	0.113	96.142
50	0.111	96.104
51	0.072	97.656
52	0.055	98.340
53	0.050	98.516
54	0.046	98.624
55	0.043	98.734
56	0.041	98.854
57	0.037	98.960
58	0.035	99.022
59	0.035	99.022
