0	3.879	12.316
1	3.107	23.130
2	2.705	30.748
3	2.454	35.476
4	2.251	40.078
5	2.089	43.668
6	1.970	46.176
7	1.864	48.824
8	1.772	50.678
9	1.694	52.724
10	1.646	53.960
11	1.596	55.182
12	1.562	56.206
13	1.521	56.878
14	1.502	57.272
15	1.470	58.128
16	1.447	58.792
17	1.412	59.740
18	1.403	59.786
19	1.375	60.702
20	1.358	60.992
21	1.343	61.394
22	1.326	61.906
23	1.324	61.878
24	1.305	62.304
25	1.286	63.086
26	1.274	63.264
27	1.268	63.374
28	1.276	63.392
29	1.257	63.936
30	1.240	64.110
31	0.767	77.286
32	0.618	81.398
33	0.557	83.128
34	0.505	84.584
35	0.466	85.796
36	0.429	86.920
37	0.399	87.752
38	0.363	89.018
39	0.335	89.784
40	0.308	90.628
41	0.289	91.014
42	0.270	91.712
43	0.246	92.398
44	0.237	92.690
45	0.219	93.236
46	0.206	93.784
47	0.204	93.626
48	0.187	94.394
49	0.182	94.516
50	0.179	94.514
51	0.104	97.454
52	0.073	98.482
53	0.063	98.716
54	0.058	98.880
55	0.054	99.030
56	0.049	99.202
57	0.046	99.282
58	0.044	99.266
59	0.041	99.398
