0	2.670	30.506
1	1.479	45.568
2	1.257	54.366
3	1.080	61.402
4	0.957	66.058
5	0.855	70.130
6	0.756	73.540
7	0.676	76.510
8	0.620	78.508
9	0.576	80.246
10	0.551	81.118
11	0.533	81.652
12	0.521	82.060
13	0.505	82.758
14	0.500	82.858
15	0.497	82.818
16	0.482	83.404
17	0.475	83.658
18	0.464	83.990
19	0.454	84.496
20	0.451	84.656
21	0.443	84.890
22	0.436	85.090
23	0.436	84.942
24	0.425	85.476
25	0.426	85.410
26	0.420	85.420
27	0.412	85.878
28	0.412	85.732
29	0.408	86.100
30	0.407	85.910
31	0.237	92.050
32	0.179	93.920
33	0.159	94.548
34	0.140	95.202
35	0.129	95.580
36	0.118	96.006
37	0.108	96.340
38	0.103	96.484
39	0.093	96.870
40	0.087	97.062
41	0.079	97.338
42	0.076	97.420
43	0.071	97.616
44	0.070	97.660
45	0.067	97.802
46	0.067	97.740
47	0.060	97.916
48	0.060	98.006
49	0.060	97.976
50	0.058	98.016
51	0.037	98.926
52	0.024	99.368
53	0.021	99.494
54	0.018	99.584
55	0.017	99.602
56	0.015	99.686
57	0.015	99.670
58	0.014	99.690
59	0.012	99.730
