Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.886	2.061	12.582	20.030
2	1.996	1.932	20.480	24.320
3	1.866	1.808	26.938	31.180
4	1.707	1.577	34.504	39.010
5	1.534	1.420	42.462	46.050
6	1.351	1.399	50.262	49.890
7	1.186	1.124	56.446	58.770
8	1.052	1.065	62.402	62.160
9	0.948	1.207	66.056	57.370
10	0.878	1.075	68.880	62.910
11	0.805	1.329	71.620	58.290
12	0.747	1.102	73.948	62.940
13	0.703	1.138	75.440	64.380
14	0.659	0.987	77.130	68.500
15	0.641	0.834	77.598	71.770
16	0.614	0.698	78.762	76.150
17	0.594	0.780	79.592	73.500
18	0.582	0.704	80.042	76.550
19	0.568	0.613	80.236	79.620
20	0.552	0.793	81.070	73.280
21	0.545	0.655	81.222	78.130
22	0.532	1.015	81.762	68.570
23	0.529	0.694	81.982	77.010
24	0.516	0.670	82.120	77.530
25	0.508	0.623	82.576	79.180
26	0.501	0.671	82.792	77.630
27	0.494	0.844	82.972	73.020
28	0.491	1.038	83.092	70.050
29	0.480	0.585	83.448	80.520
30	0.475	0.580	83.724	80.200
31	0.472	0.688	83.958	78.090
32	0.290	0.289	90.166	90.110
33	0.233	0.275	91.964	90.360
34	0.212	0.278	92.670	90.410
35	0.195	0.268	93.304	90.940
36	0.182	0.278	93.788	90.640
37	0.169	0.258	94.148	91.420
38	0.164	0.270	94.502	91.240
39	0.154	0.259	94.698	91.420
40	0.144	0.281	94.988	90.970
41	0.136	0.275	95.160	91.270
42	0.133	0.280	95.356	91.130
43	0.126	0.286	95.534	90.900
44	0.121	0.274	95.620	91.310
45	0.117	0.297	95.954	90.670
46	0.110	0.295	96.166	91.120
47	0.111	0.308	96.078	90.790
48	0.107	0.323	96.254	90.610
49	0.101	0.282	96.360	91.360
50	0.101	0.313	96.564	90.950
51	0.101	0.312	96.420	90.950
52	0.061	0.250	98.002	92.530
53	0.046	0.250	98.592	92.610
54	0.041	0.248	98.760	92.930
55	0.038	0.248	98.848	93.030
56	0.035	0.255	98.962	92.770
57	0.033	0.258	98.954	92.790
58	0.029	0.261	99.168	92.710
59	0.030	0.258	99.132	92.680
60	0.027	0.261	99.202	92.780
