Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.035	1.823	21.536	31.000
2	1.689	1.516	36.634	43.950
3	1.448	1.366	47.010	50.030
4	1.258	1.161	54.618	58.390
5	1.085	1.190	61.418	58.130
6	0.968	1.025	65.736	65.400
7	0.867	0.977	69.598	66.620
8	0.762	0.998	73.482	67.080
9	0.681	0.697	76.190	75.670
10	0.611	0.664	79.162	77.210
11	0.568	0.637	80.282	78.260
12	0.551	0.795	80.964	73.610
13	0.521	0.955	82.044	70.980
14	0.509	0.737	82.412	75.310
15	0.497	0.565	82.820	80.900
16	0.486	1.035	83.108	69.250
17	0.473	0.724	83.768	77.110
18	0.468	0.614	83.884	80.060
19	0.457	0.656	84.140	78.490
20	0.442	0.556	84.698	82.310
21	0.442	0.535	84.734	81.690
22	0.430	0.659	85.244	79.850
23	0.426	0.536	85.448	81.670
24	0.426	0.556	85.568	81.330
25	0.419	0.547	85.590	81.670
26	0.412	0.547	85.818	81.650
27	0.409	0.897	85.828	74.420
28	0.404	0.646	86.174	79.190
29	0.400	0.530	86.244	82.310
30	0.400	0.626	86.122	79.340
31	0.399	0.557	86.138	81.390
32	0.232	0.245	92.294	91.270
33	0.172	0.235	94.138	91.760
34	0.151	0.219	94.776	92.360
35	0.134	0.228	95.502	92.040
36	0.124	0.228	95.784	92.420
37	0.110	0.227	96.308	92.450
38	0.104	0.229	96.470	92.550
39	0.095	0.228	96.806	92.680
40	0.089	0.243	96.914	92.410
41	0.083	0.245	97.220	92.550
42	0.076	0.260	97.466	92.170
43	0.073	0.244	97.476	92.720
44	0.067	0.264	97.734	92.300
45	0.066	0.254	97.754	92.870
46	0.062	0.251	98.004	92.770
47	0.064	0.255	97.886	92.480
48	0.060	0.262	97.984	92.250
49	0.057	0.295	98.104	91.950
50	0.059	0.281	97.970	91.950
51	0.058	0.282	98.082	92.410
52	0.034	0.236	98.982	93.340
53	0.023	0.233	99.386	93.620
54	0.020	0.236	99.506	93.600
55	0.018	0.238	99.582	93.500
56	0.017	0.235	99.566	93.700
57	0.015	0.238	99.658	93.740
58	0.014	0.242	99.662	93.850
59	0.013	0.240	99.694	93.730
60	0.011	0.247	99.788	93.640
