Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.684	1.285	39.218	52.330
2	1.268	1.195	54.214	56.880
3	1.078	1.040	61.628	63.140
4	0.961	0.906	66.096	67.720
5	0.847	0.937	70.304	68.100
6	0.773	0.864	72.962	70.180
7	0.711	0.776	75.168	73.700
8	0.661	0.845	77.050	73.010
9	0.625	0.702	78.256	75.970
10	0.609	0.831	78.962	73.660
11	0.590	0.818	79.550	72.230
12	0.577	0.875	80.178	70.400
13	0.572	0.682	80.220	76.660
14	0.568	0.907	80.568	69.840
15	0.554	0.599	80.934	79.490
16	0.552	0.702	81.066	77.020
17	0.547	0.846	80.948	73.980
18	0.528	0.624	81.946	78.540
19	0.523	0.711	82.014	76.520
20	0.511	0.646	82.456	78.110
21	0.507	0.623	82.560	78.550
22	0.492	0.648	83.142	78.780
23	0.490	0.542	83.080	81.000
24	0.486	0.783	83.310	74.420
25	0.479	0.877	83.594	73.170
26	0.472	0.735	83.626	76.200
27	0.469	0.705	83.786	76.640
28	0.458	0.652	84.268	78.120
29	0.463	0.597	84.036	79.910
30	0.459	0.610	84.154	79.260
31	0.454	0.709	84.322	76.950
32	0.278	0.276	90.510	90.210
33	0.226	0.258	92.182	91.020
34	0.202	0.261	93.026	90.870
35	0.188	0.252	93.634	91.290
36	0.171	0.252	94.110	91.400
37	0.162	0.256	94.368	91.150
38	0.152	0.258	94.768	91.570
39	0.141	0.250	95.106	91.740
40	0.132	0.267	95.352	91.350
41	0.127	0.276	95.634	91.640
42	0.122	0.301	95.776	90.580
43	0.117	0.280	95.892	91.250
44	0.113	0.291	96.156	91.320
45	0.110	0.271	96.208	91.890
46	0.105	0.276	96.364	91.630
47	0.072	0.244	97.616	92.520
48	0.059	0.242	98.198	92.580
49	0.055	0.249	98.208	92.590
50	0.053	0.244	98.328	92.530
51	0.049	0.248	98.538	92.530
52	0.046	0.252	98.702	92.460
53	0.044	0.250	98.692	92.610
54	0.043	0.255	98.670	92.510
55	0.040	0.257	98.762	92.670
56	0.039	0.258	98.858	92.680
57	0.039	0.267	98.818	92.450
58	0.035	0.262	98.984	92.560
59	0.036	0.264	98.968	92.700
60	0.035	0.264	98.938	92.540
