Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.793	3.456	12.328	17.170
2	3.128	2.993	22.776	25.470
3	2.750	2.581	30.200	33.820
4	2.471	2.571	35.524	33.960
5	2.259	2.416	39.812	38.130
6	2.085	2.449	43.838	36.180
7	1.970	2.381	46.222	39.230
8	1.877	2.067	48.468	44.910
9	1.811	2.010	49.988	45.620
10	1.762	1.956	51.058	47.260
11	1.719	2.106	52.068	44.820
12	1.677	2.155	53.278	44.610
13	1.637	2.122	54.214	45.650
14	1.618	1.869	54.736	49.620
15	1.569	2.169	55.936	44.910
16	1.546	1.987	56.422	48.470
17	1.527	2.041	56.710	49.070
18	1.502	1.903	57.442	49.320
19	1.477	1.947	57.952	48.870
20	1.455	2.003	58.658	47.860
21	1.449	1.780	58.884	51.580
22	1.427	1.900	59.404	51.180
23	1.411	1.917	59.762	50.080
24	1.400	2.139	59.964	48.690
25	1.387	1.890	60.230	50.610
26	1.377	1.868	60.586	51.480
27	1.359	2.158	61.258	46.860
28	1.353	1.880	61.368	49.790
29	1.341	1.691	61.512	54.190
30	1.328	1.678	61.946	55.210
31	1.315	1.818	62.168	52.640
32	0.831	0.978	75.628	71.210
33	0.683	0.954	79.578	72.100
34	0.613	0.952	81.484	72.520
35	0.562	0.954	83.044	72.560
36	0.518	0.970	84.144	72.860
37	0.481	0.977	85.216	73.110
38	0.446	1.017	86.308	72.530
39	0.412	1.041	87.206	72.830
40	0.386	1.066	88.042	72.110
41	0.359	1.107	88.886	71.440
42	0.330	1.084	89.868	72.140
43	0.309	1.110	90.430	71.990
44	0.287	1.117	91.140	72.490
45	0.270	1.172	91.630	71.260
46	0.256	1.206	92.124	71.800
47	0.164	1.049	95.568	74.170
48	0.127	1.053	96.906	74.390
49	0.113	1.074	97.304	74.160
50	0.103	1.079	97.640	74.570
51	0.097	1.087	97.918	74.450
52	0.090	1.088	98.030	74.290
53	0.084	1.090	98.276	74.490
54	0.082	1.103	98.326	74.390
55	0.078	1.112	98.426	74.330
56	0.075	1.116	98.448	74.360
57	0.071	1.118	98.634	74.350
58	0.069	1.125	98.608	74.390
59	0.067	1.135	98.714	74.270
60	0.065	1.130	98.714	74.390
