Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.803	1.599	33.720	39.600
2	1.210	1.082	55.786	61.210
3	0.970	1.104	65.290	61.580
4	0.840	0.903	70.336	68.810
5	0.760	1.510	73.370	53.660
6	0.692	0.817	75.810	72.520
7	0.637	0.870	77.936	72.130
8	0.596	0.865	79.308	70.750
9	0.569	0.847	80.232	70.220
10	0.554	0.879	80.940	71.770
11	0.534	0.678	81.710	75.890
12	0.518	0.782	82.306	74.190
13	0.507	0.838	82.712	73.800
14	0.494	1.035	82.978	68.410
15	0.487	1.033	83.110	70.390
16	0.465	0.675	84.044	78.560
17	0.465	0.686	84.008	76.570
18	0.449	0.794	84.532	73.820
19	0.444	0.675	84.778	79.090
20	0.437	0.649	85.002	78.770
21	0.424	0.636	85.520	78.640
22	0.424	0.907	85.506	73.770
23	0.411	1.050	85.866	69.390
24	0.410	0.799	85.772	74.460
25	0.405	0.575	86.002	80.260
26	0.403	0.692	86.070	77.820
27	0.398	0.621	86.264	79.990
28	0.390	1.083	86.606	69.150
29	0.389	0.627	86.658	80.230
30	0.386	0.691	86.648	76.410
31	0.390	1.146	86.766	69.010
32	0.220	0.248	92.638	91.780
33	0.168	0.229	94.278	92.160
34	0.147	0.224	95.076	92.490
35	0.135	0.222	95.554	92.620
36	0.124	0.217	95.892	92.920
37	0.114	0.220	96.166	92.860
38	0.105	0.223	96.520	92.650
39	0.095	0.225	96.882	92.740
40	0.093	0.229	96.960	92.820
41	0.083	0.218	97.250	93.160
42	0.082	0.234	97.288	92.740
43	0.077	0.224	97.514	93.050
44	0.071	0.257	97.696	92.200
45	0.064	0.249	98.010	92.490
46	0.066	0.253	97.884	92.520
47	0.046	0.216	98.730	93.550
48	0.037	0.215	99.060	93.640
49	0.033	0.214	99.158	93.680
50	0.032	0.215	99.246	93.760
51	0.031	0.217	99.292	93.700
52	0.030	0.218	99.312	93.690
53	0.028	0.218	99.426	93.640
54	0.027	0.218	99.428	93.700
55	0.026	0.219	99.494	93.780
56	0.026	0.219	99.468	93.830
57	0.026	0.221	99.434	93.700
58	0.025	0.221	99.480	93.780
59	0.024	0.221	99.520	93.720
60	0.023	0.224	99.600	93.740
