Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.826	3.454	11.060	16.090
2	3.092	3.603	22.896	18.930
3	2.649	2.976	31.482	25.960
4	2.324	2.420	37.986	36.720
5	2.086	2.396	43.402	38.630
6	1.898	2.231	47.768	42.200
7	1.751	2.022	51.360	45.260
8	1.637	1.967	53.666	46.600
9	1.541	2.011	56.284	46.440
10	1.458	1.943	58.582	49.050
11	1.402	1.630	59.818	55.340
12	1.338	1.747	61.624	52.840
13	1.295	1.699	62.982	53.990
14	1.250	1.614	63.884	55.940
15	1.215	1.831	64.952	52.060
16	1.184	1.836	65.782	53.560
17	1.157	2.044	66.332	48.030
18	1.138	1.708	66.918	56.220
19	1.098	1.747	68.080	55.410
20	1.072	1.779	68.622	53.540
21	1.062	1.678	68.892	55.960
22	1.041	1.829	69.646	55.020
23	1.019	1.535	70.160	59.560
24	1.006	1.620	70.472	57.550
25	1.003	1.743	70.440	54.740
26	0.983	1.777	71.088	54.370
27	0.973	1.480	71.118	59.610
28	0.966	1.619	71.382	58.240
29	0.956	2.027	71.862	52.000
30	0.944	1.643	72.364	57.770
31	0.934	1.602	72.560	57.800
32	0.484	0.841	85.648	76.530
33	0.338	0.833	89.932	76.780
34	0.275	0.851	91.830	77.390
35	0.233	0.870	93.160	77.160
36	0.198	0.915	94.140	76.650
37	0.169	0.941	95.070	76.750
38	0.144	0.961	95.862	76.870
39	0.124	0.997	96.496	76.390
40	0.109	1.020	96.938	76.290
41	0.097	1.055	97.434	76.060
42	0.089	1.052	97.638	76.140
43	0.076	1.050	98.046	76.270
44	0.069	1.074	98.188	76.170
45	0.069	1.082	98.190	75.780
46	0.062	1.092	98.406	76.720
47	0.058	1.118	98.546	75.710
48	0.053	1.128	98.704	75.870
49	0.050	1.085	98.726	76.370
50	0.049	1.148	98.862	76.110
51	0.057	1.136	98.518	76.230
52	0.035	1.056	99.300	77.320
53	0.025	1.063	99.600	77.410
54	0.022	1.057	99.688	77.440
55	0.019	1.050	99.756	77.470
56	0.019	1.059	99.724	77.530
57	0.017	1.056	99.768	77.440
58	0.017	1.062	99.770	77.590
59	0.016	1.061	99.806	77.690
60	0.016	1.066	99.812	77.570
