Epoch	Train loss	Test loss	Train Acc	Test Acc
1	5.270	4.173	3.252	4.950
2	4.031	3.821	7.518	9.920
3	3.763	3.682	10.946	12.920
4	3.514	3.375	15.056	17.640
5	3.242	3.217	20.094	21.550
6	2.966	2.952	24.968	25.260
7	2.709	2.671	30.036	31.360
8	2.489	2.699	34.454	31.860
9	2.337	3.031	37.672	27.800
10	2.211	2.315	40.448	38.020
11	2.097	2.335	43.070	39.140
12	2.000	2.233	45.472	41.040
13	1.924	2.371	47.060	39.700
14	1.850	2.184	48.510	42.020
15	1.803	2.069	49.822	44.920
16	1.745	2.178	51.442	42.840
17	1.712	2.030	52.100	46.890
18	1.671	2.210	53.360	42.360
19	1.642	1.850	53.934	49.770
20	1.610	2.489	54.570	39.450
21	1.582	2.287	55.264	42.680
22	1.569	2.132	55.622	46.600
23	1.534	2.014	56.540	48.590
24	1.531	2.255	56.798	45.260
25	1.504	2.183	57.428	45.520
26	1.486	1.737	57.820	53.220
27	1.475	1.917	58.184	49.700
28	1.468	2.151	58.416	47.980
29	1.450	1.776	59.016	53.080
30	1.435	2.154	59.274	47.210
31	1.437	1.807	59.178	51.430
32	0.941	1.103	72.326	68.580
33	0.789	1.081	76.426	69.510
34	0.720	1.067	78.350	69.960
35	0.662	1.064	80.082	70.300
36	0.624	1.076	81.008	70.290
37	0.581	1.085	82.212	70.890
38	0.546	1.115	83.086	70.390
39	0.512	1.136	84.140	70.280
40	0.480	1.162	85.024	70.090
41	0.451	1.191	85.852	69.810
42	0.431	1.197	86.490	69.480
43	0.409	1.285	86.990	67.880
44	0.387	1.261	87.776	69.270
45	0.370	1.372	88.256	67.910
46	0.363	1.366	88.422	68.160
47	0.341	1.356	89.290	68.290
48	0.335	1.329	89.412	68.140
49	0.313	1.379	90.096	68.360
50	0.312	1.421	90.120	66.970
51	0.316	1.361	89.856	68.050
52	0.180	1.184	94.948	72.450
53	0.127	1.179	96.858	72.340
54	0.109	1.192	97.522	72.590
55	0.097	1.196	97.866	72.510
56	0.093	1.213	97.898	72.500
57	0.084	1.222	98.206	72.360
58	0.078	1.227	98.360	72.340
59	0.075	1.242	98.564	72.290
60	0.069	1.242	98.720	72.470
