Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.752	3.299	13.716	20.210
2	2.884	2.637	26.996	32.000
3	2.429	2.438	36.028	36.510
4	2.161	2.162	41.642	41.500
5	1.996	2.250	45.544	41.470
6	1.882	2.018	48.040	45.930
7	1.823	2.185	49.498	43.000
8	1.773	1.886	50.812	48.540
9	1.712	2.107	51.998	44.370
10	1.680	2.112	52.960	46.440
11	1.634	1.937	54.098	49.320
12	1.601	1.953	55.066	48.320
13	1.580	2.271	55.474	44.880
14	1.551	2.544	56.068	40.410
15	1.529	1.855	56.650	50.440
16	1.504	2.198	57.230	46.170
17	1.491	1.870	57.852	49.700
18	1.473	2.060	58.018	47.690
19	1.453	1.862	58.378	51.440
20	1.456	2.009	58.276	49.820
21	1.424	1.840	59.528	51.040
22	1.424	2.297	59.312	45.840
23	1.407	1.722	59.806	53.660
24	1.392	1.959	60.186	50.390
25	1.381	1.796	60.452	53.230
26	1.381	1.865	60.372	51.830
27	1.380	1.819	60.370	52.300
28	1.360	1.895	61.034	49.620
29	1.351	1.822	61.296	52.890
30	1.353	1.814	61.068	52.490
31	1.335	1.908	61.634	51.280
32	0.884	1.015	73.998	70.440
33	0.738	1.003	77.812	71.050
34	0.679	0.982	79.358	71.840
35	0.634	0.991	80.716	71.980
36	0.599	1.023	81.622	71.330
37	0.564	0.999	82.758	72.070
38	0.532	1.014	83.314	71.950
39	0.511	1.027	83.974	71.830
40	0.488	1.056	84.670	71.660
41	0.465	1.043	85.314	72.470
42	0.444	1.075	86.050	72.750
43	0.435	1.104	86.256	71.330
44	0.418	1.131	86.736	71.330
45	0.401	1.128	87.230	71.230
46	0.394	1.174	87.524	70.870
47	0.285	1.029	91.478	74.160
48	0.241	1.024	92.928	74.320
49	0.226	1.036	93.452	74.430
50	0.214	1.039	93.906	74.400
51	0.204	1.048	94.104	74.350
52	0.196	1.061	94.424	74.320
53	0.191	1.062	94.548	74.540
54	0.184	1.068	95.006	74.480
55	0.177	1.074	95.120	74.340
56	0.170	1.087	95.298	74.450
57	0.164	1.089	95.518	74.510
58	0.164	1.093	95.464	74.450
59	0.157	1.103	95.786	74.420
60	0.151	1.104	95.990	74.340
