Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.121	1.871	17.954	25.820
2	1.824	1.679	28.264	34.530
3	1.663	1.555	36.108	41.910
4	1.482	1.451	44.466	46.410
5	1.328	1.436	50.788	48.430
6	1.206	1.107	55.934	59.580
7	1.081	1.057	60.938	61.540
8	0.975	1.083	64.992	62.070
9	0.876	0.951	68.988	67.100
10	0.785	1.011	72.578	66.300
11	0.712	0.898	75.356	70.560
12	0.672	0.807	76.706	73.290
13	0.642	0.735	78.078	74.710
14	0.612	0.899	78.946	69.750
15	0.585	0.650	79.912	77.900
16	0.580	1.156	79.862	64.440
17	0.544	1.243	81.400	67.340
18	0.539	0.776	81.560	75.130
19	0.519	0.726	82.188	75.690
20	0.505	0.632	82.618	78.660
21	0.501	0.554	82.750	81.090
22	0.485	0.767	83.376	76.070
23	0.480	0.867	83.592	74.050
24	0.472	0.661	83.838	78.030
25	0.465	0.574	84.118	79.970
26	0.455	0.638	84.572	79.130
27	0.451	1.124	84.428	71.100
28	0.447	0.699	84.722	77.440
29	0.439	0.667	85.054	78.950
30	0.439	0.639	84.928	78.820
31	0.431	0.814	85.314	75.240
32	0.261	0.264	91.234	90.680
33	0.203	0.252	93.078	91.390
34	0.182	0.249	93.832	91.770
35	0.168	0.251	94.300	91.580
36	0.154	0.247	94.696	91.720
37	0.143	0.241	95.144	92.160
38	0.135	0.261	95.386	91.660
39	0.124	0.268	95.684	91.170
40	0.120	0.251	95.932	91.820
41	0.114	0.258	95.976	91.700
42	0.105	0.262	96.362	91.900
43	0.103	0.282	96.454	91.310
44	0.097	0.300	96.626	90.970
45	0.095	0.285	96.668	91.380
46	0.090	0.289	96.790	91.590
47	0.088	0.302	96.952	91.310
48	0.088	0.286	96.940	91.620
49	0.085	0.304	96.926	91.310
50	0.083	0.304	97.046	91.300
51	0.079	0.315	97.232	90.850
52	0.048	0.242	98.486	92.850
53	0.034	0.243	98.986	92.840
54	0.029	0.243	99.134	93.070
55	0.027	0.246	99.240	93.100
56	0.024	0.245	99.344	93.100
57	0.022	0.251	99.370	93.020
58	0.021	0.255	99.418	92.970
59	0.019	0.255	99.484	93.040
60	0.018	0.258	99.464	92.940
