Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.861	2.082	13.030	20.260
2	1.917	1.728	26.046	33.520
3	1.681	1.624	36.796	40.030
4	1.477	1.360	45.356	50.100
5	1.271	1.278	53.828	54.000
6	1.096	1.066	60.532	62.070
7	0.957	0.961	66.062	65.800
8	0.855	0.849	70.020	70.230
9	0.771	1.066	72.916	65.490
10	0.703	0.697	75.698	76.140
11	0.654	0.796	77.230	73.640
12	0.626	0.904	78.294	70.370
13	0.592	0.818	79.658	72.590
14	0.576	1.056	80.052	66.090
15	0.554	0.842	80.872	71.680
16	0.545	0.919	81.316	69.950
17	0.525	0.775	81.966	75.630
18	0.519	0.695	82.110	77.330
19	0.501	0.613	82.792	79.250
20	0.487	0.893	83.246	72.260
21	0.482	0.885	83.348	72.240
22	0.474	0.668	83.770	78.510
23	0.463	0.823	84.024	73.830
24	0.455	0.706	84.488	76.730
25	0.452	0.668	84.440	78.210
26	0.444	0.672	84.870	77.970
27	0.440	0.919	85.018	70.830
28	0.436	0.749	85.034	75.980
29	0.424	0.620	85.418	80.210
30	0.418	0.725	85.650	76.760
31	0.419	0.685	85.624	77.850
32	0.243	0.254	91.860	91.100
33	0.187	0.239	93.618	91.630
34	0.164	0.234	94.312	92.000
35	0.150	0.238	94.900	92.070
36	0.138	0.230	95.292	92.050
37	0.125	0.225	95.766	92.680
38	0.116	0.246	96.034	91.870
39	0.109	0.240	96.162	92.100
40	0.103	0.250	96.398	92.100
41	0.095	0.253	96.692	92.280
42	0.088	0.245	97.000	92.350
43	0.086	0.250	97.088	92.150
44	0.082	0.258	97.214	92.230
45	0.078	0.267	97.270	92.080
46	0.076	0.293	97.426	91.520
47	0.075	0.278	97.440	91.900
48	0.072	0.273	97.520	92.140
49	0.071	0.261	97.574	92.050
50	0.070	0.282	97.648	91.960
51	0.069	0.290	97.658	91.880
52	0.040	0.225	98.754	93.470
53	0.026	0.223	99.336	93.660
54	0.022	0.223	99.450	93.780
55	0.021	0.228	99.450	93.780
56	0.019	0.228	99.492	93.780
57	0.017	0.230	99.568	93.690
58	0.017	0.234	99.542	93.710
59	0.015	0.235	99.632	93.820
60	0.013	0.232	99.700	93.680
