Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.527	2.279	11.794	14.070
2	2.155	2.046	17.532	21.210
3	1.997	1.928	21.752	24.930
4	1.856	1.729	27.384	32.240
5	1.665	1.580	35.810	37.950
6	1.497	1.433	43.610	47.400
7	1.321	1.465	51.318	49.420
8	1.170	1.398	57.652	52.580
9	1.040	1.274	62.778	56.090
10	0.944	0.980	66.276	65.240
11	0.865	1.471	69.048	55.840
12	0.806	1.006	71.224	65.720
13	0.757	0.871	73.360	69.220
14	0.709	1.162	75.176	65.520
15	0.679	0.769	76.436	72.860
16	0.649	0.877	77.406	70.870
17	0.627	0.940	78.206	67.720
18	0.612	0.818	78.690	72.620
19	0.595	0.655	79.312	77.650
20	0.565	0.786	80.434	74.570
21	0.558	0.865	80.654	71.410
22	0.546	0.738	81.390	75.270
23	0.525	0.732	81.964	75.490
24	0.515	0.706	81.924	76.500
25	0.504	0.596	82.552	79.990
26	0.496	0.690	82.952	78.310
27	0.487	0.730	83.322	76.870
28	0.477	0.778	83.556	75.450
29	0.467	0.632	83.884	79.900
30	0.464	0.604	83.930	79.760
31	0.453	0.552	84.296	81.370
32	0.279	0.284	90.578	90.250
33	0.225	0.272	92.286	90.640
34	0.202	0.277	92.994	90.830
35	0.188	0.265	93.564	91.010
36	0.170	0.265	94.174	91.110
37	0.162	0.259	94.360	91.270
38	0.153	0.274	94.792	91.240
39	0.148	0.269	94.892	91.100
40	0.137	0.306	95.272	90.530
41	0.131	0.278	95.434	91.380
42	0.126	0.277	95.604	91.210
43	0.119	0.277	95.856	91.200
44	0.114	0.287	96.088	91.230
45	0.110	0.293	96.190	91.190
46	0.106	0.284	96.306	91.180
47	0.107	0.322	96.280	90.280
48	0.102	0.307	96.526	91.000
49	0.099	0.279	96.644	91.420
50	0.096	0.312	96.638	90.900
51	0.099	0.307	96.602	91.010
52	0.060	0.238	98.146	92.580
53	0.045	0.239	98.710	92.690
54	0.038	0.237	98.984	92.800
55	0.036	0.242	99.108	92.670
56	0.033	0.240	99.176	92.890
57	0.029	0.246	99.310	92.700
58	0.028	0.246	99.330	92.780
59	0.028	0.247	99.330	92.790
60	0.026	0.247	99.424	92.880
