Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.613	4.535	1.614	2.710
2	4.194	4.158	4.266	5.490
3	3.946	3.803	7.658	9.740
4	3.717	3.622	11.324	13.310
5	3.470	3.449	15.724	16.560
6	3.203	3.128	21.054	23.350
7	2.931	2.966	25.696	26.120
8	2.645	2.717	31.608	30.650
9	2.397	2.590	36.522	33.710
10	2.226	4.225	40.148	16.210
11	2.097	2.509	43.024	35.320
12	1.988	2.220	45.732	41.080
13	1.910	2.119	47.340	43.260
14	1.836	2.593	49.478	37.890
15	1.779	2.435	50.606	40.170
16	1.723	2.399	52.094	39.680
17	1.682	2.032	53.014	46.660
18	1.643	1.993	54.142	46.930
19	1.607	2.279	54.712	42.880
20	1.572	2.275	55.568	43.820
21	1.550	2.057	56.262	47.130
22	1.528	1.759	57.096	52.300
23	1.498	1.864	57.766	50.730
24	1.484	1.910	58.108	48.940
25	1.462	1.776	58.692	52.230
26	1.435	1.839	59.382	50.960
27	1.426	1.781	59.498	51.790
28	1.400	2.040	60.082	49.490
29	1.395	2.036	60.128	48.970
30	1.375	1.903	60.696	49.700
31	1.352	1.964	61.322	49.340
32	0.891	1.056	74.186	69.470
33	0.741	1.027	78.002	70.140
34	0.675	1.017	80.032	70.690
35	0.623	1.011	81.410	70.640
36	0.581	1.007	82.606	71.110
37	0.542	1.037	83.842	70.860
38	0.505	1.023	84.894	71.060
39	0.474	1.020	85.814	71.760
40	0.439	1.025	86.750	71.720
41	0.414	1.053	87.638	71.510
42	0.390	1.076	88.348	70.730
43	0.367	1.078	89.238	71.220
44	0.339	1.093	90.052	71.020
45	0.320	1.134	90.702	70.950
46	0.299	1.138	91.296	71.050
47	0.277	1.143	92.042	70.910
48	0.267	1.142	92.370	70.610
49	0.256	1.146	92.558	71.130
50	0.239	1.160	93.288	70.530
51	0.232	1.198	93.398	70.230
52	0.150	1.056	96.492	73.260
53	0.119	1.051	97.534	73.150
54	0.108	1.046	97.880	73.300
55	0.097	1.048	98.228	73.410
56	0.093	1.047	98.334	73.470
57	0.090	1.051	98.472	73.610
58	0.085	1.047	98.686	73.610
59	0.083	1.051	98.572	73.490
60	0.078	1.046	98.810	73.630
