Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.747	4.484	1.646	2.140
2	4.305	4.071	3.446	5.460
3	3.977	3.828	6.936	9.530
4	3.663	3.492	12.038	15.060
5	3.341	3.225	17.838	20.880
6	3.053	2.951	23.710	25.600
7	2.793	2.821	28.766	29.260
8	2.580	2.537	32.906	34.920
9	2.372	2.547	37.232	35.180
10	2.174	2.240	41.442	39.950
11	2.014	2.455	45.256	37.660
12	1.886	2.125	48.120	42.940
13	1.775	2.171	50.732	43.500
14	1.695	1.984	52.478	47.260
15	1.623	1.898	54.388	48.540
16	1.579	1.907	55.496	48.230
17	1.535	1.935	56.558	48.480
18	1.497	1.746	57.390	53.150
19	1.463	1.958	58.482	49.440
20	1.429	1.943	59.116	49.420
21	1.403	1.789	59.816	50.880
22	1.377	1.968	60.148	49.230
23	1.364	1.822	60.848	51.290
24	1.342	1.728	61.386	53.100
25	1.312	1.867	62.296	51.370
26	1.317	1.708	62.122	53.980
27	1.296	1.958	62.698	50.680
28	1.279	1.687	62.986	53.300
29	1.261	1.681	63.550	55.130
30	1.251	1.709	63.738	54.270
31	1.243	1.894	63.938	51.480
32	0.788	0.992	76.854	71.530
33	0.637	0.962	80.904	72.560
34	0.573	0.955	82.560	72.950
35	0.519	0.949	84.288	73.510
36	0.481	0.962	85.402	73.430
37	0.442	0.965	86.584	73.580
38	0.405	0.980	87.544	73.430
39	0.381	1.003	88.348	72.680
40	0.349	1.008	89.330	73.610
41	0.325	1.040	89.842	73.080
42	0.301	1.075	90.682	72.710
43	0.285	1.098	91.158	72.540
44	0.269	1.067	91.752	73.040
45	0.262	1.123	91.816	72.060
46	0.245	1.117	92.498	72.300
47	0.237	1.143	92.666	72.460
48	0.231	1.145	92.880	71.730
49	0.225	1.181	93.176	71.420
50	0.213	1.197	93.392	71.900
51	0.209	1.220	93.566	70.760
52	0.122	1.026	96.680	75.100
53	0.088	1.022	97.862	75.280
54	0.075	1.023	98.350	75.340
55	0.066	1.023	98.642	75.560
56	0.062	1.025	98.768	75.450
57	0.059	1.029	98.834	75.570
58	0.053	1.033	99.042	75.730
59	0.051	1.036	99.062	75.500
60	0.047	1.037	99.228	75.750
