Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.929	4.548	1.254	1.960
2	4.430	4.174	2.752	4.490
3	4.070	3.890	5.878	7.770
4	3.818	3.643	9.684	12.590
5	3.566	3.409	13.694	17.740
6	3.287	3.170	18.884	21.460
7	3.013	3.001	24.108	25.590
8	2.749	2.758	29.266	29.340
9	2.532	2.506	33.906	35.270
10	2.337	2.380	37.810	37.260
11	2.188	2.235	40.964	40.200
12	2.050	2.249	44.022	40.900
13	1.945	2.242	46.348	42.690
14	1.859	2.821	48.742	35.010
15	1.802	2.051	49.852	45.510
16	1.733	1.962	51.450	47.260
17	1.686	2.066	52.816	45.840
18	1.639	2.190	53.998	42.760
19	1.605	1.832	54.716	50.310
20	1.570	1.874	55.610	49.210
21	1.528	1.985	56.728	47.840
22	1.501	1.929	57.478	50.450
23	1.462	1.756	58.400	52.930
24	1.447	1.846	58.974	50.850
25	1.415	1.756	59.744	52.270
26	1.391	1.593	60.246	56.180
27	1.384	1.832	60.462	51.040
28	1.367	1.706	60.790	53.300
29	1.349	1.741	61.358	54.050
30	1.329	1.705	61.638	53.750
31	1.319	1.666	61.952	54.510
32	0.856	1.016	74.828	70.420
33	0.706	0.992	78.774	70.920
34	0.643	0.984	80.856	71.670
35	0.585	0.982	82.258	72.030
36	0.552	0.968	83.168	72.350
37	0.510	0.996	84.412	72.280
38	0.472	1.001	85.600	72.200
39	0.443	1.032	86.288	71.980
40	0.415	1.050	87.286	71.630
41	0.384	1.069	88.026	71.360
42	0.365	1.079	88.662	71.500
43	0.345	1.105	89.364	70.970
44	0.326	1.114	89.916	71.520
45	0.316	1.142	90.168	71.150
46	0.297	1.141	90.784	71.250
47	0.286	1.142	91.072	71.130
48	0.284	1.148	91.252	70.970
49	0.262	1.216	92.010	70.540
50	0.260	1.178	92.046	70.970
51	0.259	1.220	92.022	70.610
52	0.151	1.031	96.058	74.070
53	0.110	1.025	97.450	74.260
54	0.097	1.032	97.868	74.490
55	0.086	1.028	98.170	74.760
56	0.081	1.035	98.310	74.560
57	0.076	1.039	98.436	74.980
58	0.072	1.035	98.592	74.950
59	0.068	1.035	98.636	74.930
60	0.061	1.042	98.942	74.930
