Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.742	4.335	2.054	3.980
2	4.120	3.862	5.944	8.940
3	3.729	3.649	10.804	13.020
4	3.408	3.265	16.424	18.840
5	3.014	3.104	23.984	22.460
6	2.672	2.587	30.474	32.490
7	2.374	2.353	36.824	38.470
8	2.144	2.271	41.842	39.640
9	1.971	2.005	45.786	45.790
10	1.842	2.096	48.968	43.800
11	1.740	2.051	51.328	46.420
12	1.656	2.816	53.532	35.900
13	1.592	1.901	55.202	49.390
14	1.538	1.695	56.574	53.270
15	1.492	1.976	57.888	47.360
16	1.453	1.912	58.588	49.390
17	1.413	1.942	59.524	49.650
18	1.375	1.924	60.756	50.120
19	1.346	1.652	61.480	54.280
20	1.324	1.976	62.132	49.720
21	1.299	1.819	62.490	52.210
22	1.274	1.697	63.206	54.510
23	1.255	1.738	63.892	54.140
24	1.241	1.828	64.084	52.520
25	1.217	1.769	64.836	53.230
26	1.209	1.560	65.078	57.270
27	1.201	1.631	65.282	56.470
28	1.172	1.522	66.122	58.210
29	1.163	1.807	66.288	52.680
30	1.157	1.707	66.312	55.750
31	1.151	1.896	66.800	52.740
32	0.686	0.875	79.762	74.540
33	0.526	0.868	84.066	75.300
34	0.460	0.859	85.958	75.890
35	0.406	0.873	87.558	75.800
36	0.363	0.887	88.798	75.860
37	0.319	0.902	90.122	75.820
38	0.288	0.938	91.296	75.450
39	0.257	0.964	92.142	75.540
40	0.227	1.010	92.988	74.820
41	0.213	1.031	93.332	74.870
42	0.192	1.054	94.080	74.610
43	0.180	1.046	94.524	75.090
44	0.162	1.057	95.248	74.460
45	0.152	1.096	95.390	74.160
46	0.156	1.156	95.210	73.630
47	0.149	1.098	95.500	74.980
48	0.139	1.112	95.720	73.790
49	0.139	1.094	95.790	74.320
50	0.131	1.184	96.038	73.350
51	0.131	1.179	96.132	73.570
52	0.069	0.998	98.280	77.050
53	0.044	0.996	99.126	77.420
54	0.034	0.998	99.388	77.770
55	0.029	1.001	99.548	77.390
56	0.026	1.003	99.640	77.680
57	0.025	1.002	99.630	77.800
58	0.023	1.017	99.692	77.610
59	0.021	1.020	99.700	78.120
60	0.021	1.016	99.688	78.090
