Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.822	3.466	11.160	16.920
2	3.078	2.792	22.970	28.530
3	2.484	2.382	34.566	37.080
4	2.104	2.265	42.572	40.650
5	1.872	2.078	48.350	44.900
6	1.720	1.900	52.118	48.390
7	1.597	2.000	55.080	47.100
8	1.512	1.771	57.040	51.360
9	1.435	1.869	59.122	50.550
10	1.380	1.905	60.388	51.090
11	1.326	1.798	61.946	52.040
12	1.278	2.047	63.096	48.740
13	1.238	1.799	64.270	52.890
14	1.218	1.639	64.590	54.980
15	1.183	1.574	65.470	56.580
16	1.168	1.491	65.766	58.790
17	1.152	1.658	66.100	56.100
18	1.131	1.555	66.732	57.920
19	1.109	1.570	67.544	58.180
20	1.094	1.731	67.894	53.710
21	1.074	1.692	68.578	54.830
22	1.066	1.503	68.620	59.300
23	1.056	1.610	68.938	57.340
24	1.036	1.680	69.472	56.370
25	1.033	1.564	69.410	57.970
26	1.020	1.640	69.758	56.810
27	1.012	1.559	70.158	58.550
28	1.000	1.676	70.316	56.940
29	0.994	1.564	70.842	58.710
30	0.984	1.481	70.976	59.550
31	0.980	1.504	71.200	59.740
32	0.560	0.831	83.564	75.470
33	0.413	0.815	87.850	76.140
34	0.348	0.812	89.806	76.760
35	0.301	0.827	91.236	76.720
36	0.262	0.823	92.500	77.120
37	0.228	0.859	93.736	76.370
38	0.200	0.853	94.544	76.940
39	0.174	0.863	95.384	77.040
40	0.150	0.890	96.256	76.790
41	0.135	0.910	96.700	76.760
42	0.120	0.914	97.004	76.750
43	0.109	0.922	97.380	76.570
44	0.095	0.930	97.802	76.210
45	0.090	0.943	97.916	76.480
46	0.085	0.958	98.048	76.530
47	0.079	0.952	98.250	76.180
48	0.072	0.956	98.404	76.150
49	0.075	0.965	98.338	76.370
50	0.071	0.963	98.406	76.340
51	0.068	0.991	98.474	75.980
52	0.043	0.905	99.314	77.700
53	0.031	0.901	99.624	77.980
54	0.027	0.902	99.726	78.070
55	0.026	0.900	99.720	78.220
56	0.023	0.904	99.808	77.940
57	0.022	0.902	99.812	78.180
58	0.021	0.904	99.802	78.010
59	0.020	0.911	99.818	77.880
60	0.019	0.907	99.884	78.200
