Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.893	4.399	1.526	2.770
2	4.220	4.050	4.678	6.260
3	3.898	3.719	8.498	11.990
4	3.617	3.509	13.114	14.450
5	3.331	3.232	18.374	20.880
6	3.012	2.991	23.956	25.380
7	2.649	2.722	30.826	30.200
8	2.349	2.366	37.302	37.390
9	2.114	2.190	42.382	42.130
10	1.934	2.156	46.682	42.840
11	1.813	1.929	49.608	47.660
12	1.704	1.891	52.406	48.940
13	1.631	2.034	54.168	47.410
14	1.565	1.980	55.760	48.950
15	1.508	1.970	57.222	48.280
16	1.460	2.023	58.352	47.340
17	1.428	1.977	59.106	48.610
18	1.388	2.018	60.250	49.420
19	1.350	1.645	61.420	53.960
20	1.333	2.159	61.836	47.680
21	1.300	1.850	62.670	52.550
22	1.273	1.667	63.398	55.110
23	1.259	1.642	63.546	55.970
24	1.239	1.770	64.096	53.640
25	1.214	1.772	64.770	53.600
26	1.200	1.747	65.120	53.990
27	1.192	1.896	65.466	52.450
28	1.169	1.666	66.104	55.120
29	1.148	1.921	66.512	50.840
30	1.149	1.720	66.586	55.630
31	1.144	1.586	66.810	57.490
32	0.675	0.878	80.152	74.620
33	0.515	0.868	84.432	75.360
34	0.452	0.856	86.254	76.110
35	0.396	0.875	87.784	75.340
36	0.354	0.903	89.234	75.870
37	0.313	0.907	90.288	76.230
38	0.280	0.952	91.378	75.580
39	0.246	0.977	92.422	75.280
40	0.218	0.995	93.298	75.300
41	0.206	1.024	93.556	75.150
42	0.180	1.070	94.502	74.410
43	0.170	1.009	94.692	75.740
44	0.152	1.066	95.410	74.850
45	0.141	1.090	95.698	74.790
46	0.136	1.166	95.900	73.700
47	0.131	1.098	96.130	74.870
48	0.124	1.147	96.230	74.440
49	0.123	1.119	96.314	74.720
50	0.119	1.114	96.340	74.770
51	0.113	1.130	96.698	74.430
52	0.059	0.995	98.514	77.240
53	0.039	0.994	99.224	77.620
54	0.032	1.000	99.398	77.890
55	0.028	1.012	99.518	77.860
56	0.024	1.017	99.636	77.750
57	0.023	1.018	99.632	77.870
58	0.021	1.026	99.676	77.860
59	0.019	1.026	99.756	77.820
60	0.019	1.028	99.730	78.020
