Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.898	4.451	1.534	2.120
2	4.263	4.080	4.080	5.940
3	3.985	3.823	7.204	9.960
4	3.701	3.617	11.460	13.410
5	3.416	3.336	16.780	18.630
6	3.062	2.994	22.946	24.200
7	2.678	2.679	30.154	30.330
8	2.376	2.423	36.422	35.510
9	2.148	2.208	41.462	40.670
10	1.977	2.244	45.584	40.740
11	1.852	1.969	48.612	47.050
12	1.746	2.136	51.348	43.930
13	1.671	2.144	53.350	44.930
14	1.605	2.047	55.002	47.260
15	1.539	1.895	56.480	49.790
16	1.500	2.013	57.292	47.250
17	1.458	1.882	58.542	51.020
18	1.426	1.996	59.394	48.760
19	1.380	1.987	60.726	48.260
20	1.360	1.960	61.188	49.270
21	1.332	1.896	61.944	49.840
22	1.310	1.730	62.220	53.400
23	1.289	1.755	62.854	53.250
24	1.271	1.719	63.398	54.440
25	1.240	1.656	64.190	55.070
26	1.226	1.804	64.792	52.380
27	1.216	1.644	64.760	56.560
28	1.200	1.648	65.444	56.140
29	1.186	1.842	65.860	52.450
30	1.173	1.607	66.082	57.640
31	1.170	1.701	66.122	55.400
32	0.699	0.890	79.374	74.090
33	0.543	0.875	83.600	75.290
34	0.475	0.870	85.502	75.580
35	0.421	0.901	87.038	75.250
36	0.376	0.899	88.364	75.810
37	0.333	0.914	89.768	75.500
38	0.297	0.931	90.946	75.810
39	0.268	0.965	91.556	75.190
40	0.230	1.003	92.952	74.840
41	0.217	1.048	93.330	74.650
42	0.191	1.048	94.178	74.740
43	0.182	1.048	94.302	74.330
44	0.166	1.076	94.944	74.700
45	0.149	1.107	95.446	74.270
46	0.142	1.129	95.700	74.140
47	0.135	1.111	95.902	74.530
48	0.127	1.157	96.250	73.790
49	0.123	1.150	96.294	74.290
50	0.118	1.159	96.372	73.600
51	0.112	1.133	96.688	74.060
52	0.060	1.020	98.508	76.560
53	0.039	1.016	99.232	76.880
54	0.031	1.025	99.476	76.800
55	0.029	1.030	99.476	77.060
56	0.025	1.032	99.580	76.970
57	0.023	1.036	99.628	77.160
58	0.022	1.046	99.688	76.980
59	0.021	1.048	99.670	77.100
60	0.020	1.051	99.672	76.900
