Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.772	1.822	35.994	38.440
2	1.272	1.227	53.788	55.880
3	1.001	1.138	64.206	63.350
4	0.838	0.994	70.308	66.230
5	0.732	0.760	74.146	74.120
6	0.645	0.905	77.376	70.560
7	0.577	0.618	79.916	79.310
8	0.529	0.721	81.780	75.750
9	0.503	0.643	82.568	78.930
10	0.473	0.553	83.634	80.700
11	0.454	0.646	84.344	78.150
12	0.438	0.577	85.018	80.540
13	0.429	0.647	85.176	78.870
14	0.410	0.568	85.762	80.810
15	0.407	0.551	85.986	82.000
16	0.393	0.557	86.494	81.570
17	0.387	0.522	86.586	81.930
18	0.381	0.547	86.808	82.130
19	0.376	0.560	86.982	81.710
20	0.366	0.522	87.318	82.520
21	0.360	0.594	87.520	80.580
22	0.361	0.466	87.554	84.350
23	0.352	0.644	87.818	79.760
24	0.353	0.450	87.792	84.650
25	0.350	0.457	87.970	84.970
26	0.344	0.467	88.206	84.510
27	0.341	0.477	88.252	84.020
28	0.333	0.617	88.528	80.160
29	0.330	0.759	88.632	78.240
30	0.332	0.454	88.534	84.940
31	0.325	0.393	88.800	86.750
32	0.180	0.209	94.018	93.000
33	0.128	0.203	95.772	93.170
34	0.107	0.199	96.532	93.420
35	0.093	0.195	96.886	93.530
36	0.082	0.202	97.316	93.450
37	0.072	0.200	97.620	93.560
38	0.062	0.208	97.928	93.450
39	0.058	0.214	98.104	93.500
40	0.052	0.217	98.276	93.250
41	0.047	0.235	98.526	93.290
42	0.048	0.220	98.368	93.480
43	0.043	0.228	98.566	93.320
44	0.041	0.241	98.668	93.080
45	0.041	0.239	98.664	93.180
46	0.037	0.230	98.822	93.370
47	0.037	0.243	98.788	93.260
48	0.038	0.239	98.784	93.250
49	0.039	0.230	98.722	93.670
50	0.038	0.262	98.808	93.140
51	0.038	0.249	98.750	93.000
52	0.022	0.208	99.400	94.220
53	0.016	0.206	99.654	94.270
54	0.012	0.208	99.700	94.320
55	0.011	0.209	99.774	94.320
56	0.010	0.208	99.818	94.410
57	0.009	0.206	99.826	94.530
58	0.008	0.207	99.856	94.540
59	0.008	0.207	99.846	94.530
60	0.007	0.209	99.880	94.530
