Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.863	3.321	12.800	20.260
2	3.060	2.816	23.962	28.930
3	2.633	2.696	32.020	30.470
4	2.358	2.573	37.640	34.390
5	2.144	2.421	42.208	37.610
6	1.988	2.262	45.564	40.940
7	1.854	2.113	48.634	44.570
8	1.743	1.947	51.190	48.100
9	1.675	2.209	52.890	43.390
10	1.618	2.070	54.554	45.390
11	1.571	1.905	55.538	49.280
12	1.532	1.995	56.502	48.370
13	1.496	1.943	57.354	49.650
14	1.476	1.941	58.000	50.510
15	1.446	1.779	58.808	51.860
16	1.419	2.124	59.434	46.510
17	1.393	1.757	60.106	53.020
18	1.376	1.643	60.450	55.050
19	1.359	1.720	61.384	53.650
20	1.334	2.166	61.500	48.740
21	1.318	1.755	61.848	52.700
22	1.302	1.844	62.478	52.080
23	1.302	1.860	62.230	51.860
24	1.277	2.177	63.002	49.030
25	1.267	1.572	63.040	57.280
26	1.257	1.695	63.820	54.250
27	1.245	1.554	63.694	57.760
28	1.234	1.756	64.400	54.330
29	1.222	1.850	64.532	52.690
30	1.226	1.635	64.358	55.510
31	1.203	1.717	64.884	54.100
32	0.750	0.943	78.028	72.790
33	0.595	0.906	82.200	73.590
34	0.529	0.901	84.134	73.720
35	0.482	0.896	85.254	74.350
36	0.439	0.929	86.548	74.150
37	0.405	0.924	87.552	74.370
38	0.371	0.936	88.766	74.440
39	0.343	0.969	89.532	73.770
40	0.315	0.968	90.284	74.140
41	0.287	1.002	91.222	74.260
42	0.265	1.013	91.784	74.050
43	0.247	1.020	92.422	74.580
44	0.235	1.089	92.836	73.210
45	0.208	1.098	93.870	73.760
46	0.206	1.128	93.704	73.330
47	0.192	1.151	94.262	73.100
48	0.185	1.151	94.364	73.160
49	0.176	1.147	94.790	73.260
50	0.170	1.145	94.752	73.150
51	0.162	1.224	95.066	72.130
52	0.095	1.028	97.654	76.170
53	0.066	1.025	98.620	76.320
54	0.056	1.033	98.948	76.460
55	0.051	1.036	99.098	76.690
56	0.046	1.039	99.248	76.640
57	0.044	1.043	99.296	76.710
58	0.042	1.054	99.350	76.680
59	0.039	1.049	99.486	76.780
60	0.037	1.058	99.480	76.650
