Epoch	Train loss	Test loss	Train Acc	Test Acc
1	6.057	4.654	1.790	1.910
2	4.487	4.279	3.058	3.760
3	4.227	4.168	4.262	4.820
4	4.116	3.997	5.738	7.380
5	3.933	3.886	8.306	8.640
6	3.790	3.763	10.126	10.560
7	3.652	3.562	12.360	13.120
8	3.459	3.464	15.726	15.930
9	3.226	3.399	19.728	16.420
10	2.994	3.034	23.972	22.610
11	2.764	3.167	28.464	23.340
12	2.569	2.568	32.162	33.130
13	2.430	2.523	35.438	33.590
14	2.312	2.809	37.896	30.410
15	2.208	2.315	40.028	38.460
16	2.131	2.315	41.982	39.180
17	2.060	2.224	43.752	40.780
18	1.989	2.189	45.286	41.570
19	1.938	2.124	46.392	43.080
20	1.886	2.098	47.732	43.540
21	1.837	1.981	49.070	46.210
22	1.799	1.892	49.942	48.730
23	1.763	2.079	50.450	45.260
24	1.720	2.088	51.692	45.320
25	1.705	2.086	52.168	45.010
26	1.669	2.016	53.032	46.450
27	1.636	2.102	54.010	45.810
28	1.618	2.335	54.368	42.480
29	1.598	2.221	54.984	44.540
30	1.575	2.054	55.466	46.710
31	1.547	2.208	56.122	44.520
32	1.097	1.166	68.132	65.950
33	0.943	1.133	72.044	67.290
34	0.872	1.138	73.910	67.410
35	0.829	1.128	74.990	67.820
36	0.790	1.119	76.116	68.320
37	0.746	1.152	77.458	67.870
38	0.712	1.144	78.336	68.780
39	0.677	1.200	79.226	67.740
40	0.652	1.185	79.840	67.930
41	0.624	1.196	80.708	68.240
42	0.595	1.212	81.606	68.040
43	0.579	1.239	81.900	67.710
44	0.555	1.256	82.644	67.690
45	0.536	1.250	83.166	67.790
46	0.513	1.294	83.826	66.970
47	0.498	1.309	84.402	67.510
48	0.491	1.347	84.444	66.960
49	0.471	1.358	84.952	66.200
50	0.457	1.360	85.618	66.700
51	0.450	1.420	85.710	65.660
52	0.277	1.135	91.906	71.540
53	0.213	1.142	94.152	71.600
54	0.187	1.155	95.084	71.710
55	0.174	1.171	95.496	71.470
56	0.161	1.191	95.970	71.470
57	0.150	1.207	96.224	71.570
58	0.143	1.211	96.494	71.500
59	0.136	1.230	96.676	71.350
60	0.129	1.223	96.928	71.450
