Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.895	3.507	12.012	17.320
2	3.190	3.056	22.040	24.270
3	2.808	2.801	28.672	29.530
4	2.558	2.558	33.782	35.150
5	2.374	2.530	37.406	35.190
6	2.231	2.569	40.408	35.640
7	2.105	2.251	43.132	41.120
8	1.987	2.219	45.906	41.900
9	1.890	2.136	47.978	43.620
10	1.797	2.044	50.140	45.280
11	1.736	2.012	51.938	46.260
12	1.690	1.974	52.684	47.460
13	1.643	1.942	53.888	49.130
14	1.609	1.998	54.682	47.680
15	1.576	1.974	55.796	48.430
16	1.551	1.846	56.242	49.920
17	1.512	2.036	57.204	47.820
18	1.507	2.005	57.112	49.190
19	1.469	1.906	58.114	49.870
20	1.458	1.863	58.446	49.820
21	1.428	1.846	59.338	51.810
22	1.411	1.974	59.790	48.520
23	1.392	1.867	60.178	50.830
24	1.396	1.704	59.946	54.570
25	1.380	1.828	60.512	51.650
26	1.363	1.730	60.788	52.130
27	1.337	1.995	61.648	49.930
28	1.352	1.921	61.224	50.400
29	1.330	1.711	61.982	53.330
30	1.317	1.720	62.170	53.870
31	1.306	1.935	62.336	50.580
32	0.842	1.002	75.254	70.910
33	0.688	0.962	79.456	72.400
34	0.622	0.957	81.164	72.630
35	0.572	0.970	82.592	72.560
36	0.530	0.979	83.946	72.600
37	0.496	0.982	84.906	72.990
38	0.458	1.015	85.968	72.460
39	0.421	1.029	87.044	73.040
40	0.396	1.020	87.782	72.960
41	0.369	1.074	88.552	72.240
42	0.342	1.082	89.540	72.650
43	0.322	1.085	90.014	72.200
44	0.297	1.122	90.754	72.160
45	0.283	1.106	91.204	72.270
46	0.268	1.146	91.606	71.650
47	0.246	1.157	92.436	71.720
48	0.240	1.217	92.658	70.800
49	0.233	1.184	92.816	71.120
50	0.220	1.222	93.296	71.270
51	0.216	1.200	93.356	71.630
52	0.127	1.071	96.750	74.690
53	0.093	1.072	97.972	75.040
54	0.079	1.081	98.358	74.960
55	0.073	1.089	98.568	74.760
56	0.067	1.092	98.762	74.750
57	0.063	1.099	98.854	74.920
58	0.059	1.103	99.014	74.760
59	0.056	1.107	99.028	74.660
60	0.053	1.110	99.114	74.980
