Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.892	3.243	12.246	20.490
2	3.002	2.885	24.984	26.900
3	2.464	2.425	34.938	36.960
4	2.164	2.396	41.670	39.040
5	1.961	2.328	46.124	40.690
6	1.827	2.105	49.460	44.160
7	1.735	1.964	51.600	47.920
8	1.662	1.964	53.264	48.130
9	1.599	2.454	55.006	42.300
10	1.558	1.734	55.988	52.080
11	1.521	2.089	56.744	47.030
12	1.488	1.912	57.628	48.100
13	1.471	1.810	58.100	51.060
14	1.435	1.701	59.080	52.900
15	1.412	1.759	59.556	52.650
16	1.386	1.939	60.274	49.250
17	1.365	1.765	60.638	53.450
18	1.348	1.737	61.528	54.230
19	1.325	1.665	61.826	55.070
20	1.310	1.822	62.084	53.660
21	1.303	1.667	62.628	55.430
22	1.286	1.707	62.770	54.860
23	1.267	1.925	63.442	51.980
24	1.264	1.693	63.326	54.900
25	1.250	1.870	63.686	52.050
26	1.240	1.769	63.990	52.610
27	1.238	2.076	63.988	50.160
28	1.222	1.815	64.646	51.580
29	1.209	1.736	64.924	55.090
30	1.204	1.776	65.130	53.700
31	1.201	1.615	65.040	55.960
32	0.747	0.922	77.684	73.040
33	0.592	0.898	81.918	73.950
34	0.525	0.894	83.952	74.530
35	0.473	0.904	85.484	74.160
36	0.433	0.895	86.466	75.190
37	0.400	0.921	87.674	74.450
38	0.365	0.957	88.692	74.570
39	0.337	0.976	89.594	74.260
40	0.310	0.997	90.444	74.030
41	0.289	1.026	90.976	74.670
42	0.271	1.036	91.562	74.080
43	0.251	1.058	92.092	73.510
44	0.238	1.074	92.536	74.030
45	0.222	1.096	93.096	73.530
46	0.210	1.128	93.476	73.790
47	0.209	1.137	93.562	72.490
48	0.200	1.130	93.846	73.420
49	0.186	1.170	94.260	73.670
50	0.187	1.149	94.204	73.220
51	0.184	1.194	94.280	72.970
52	0.103	1.037	97.340	75.680
53	0.072	1.037	98.420	76.020
54	0.062	1.046	98.712	76.310
55	0.055	1.044	98.922	76.630
56	0.050	1.051	99.134	76.210
57	0.047	1.046	99.176	76.420
58	0.043	1.055	99.262	76.460
59	0.042	1.058	99.298	76.470
60	0.039	1.068	99.326	76.310
