Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.642	1.323	39.824	51.050
2	1.200	1.060	56.868	62.370
3	0.950	0.964	66.558	66.080
4	0.773	0.773	72.968	73.810
5	0.690	0.827	76.042	72.430
6	0.634	0.711	78.036	75.510
7	0.600	0.746	79.382	74.440
8	0.589	0.780	79.644	73.590
9	0.570	0.715	80.396	76.020
10	0.569	0.740	80.374	75.670
11	0.548	0.735	81.272	76.600
12	0.543	0.695	81.478	77.010
13	0.535	0.845	81.622	73.410
14	0.525	0.601	81.798	79.800
15	0.515	0.768	82.252	75.360
16	0.514	0.602	82.314	79.380
17	0.499	0.803	82.930	74.360
18	0.496	0.618	82.992	79.150
19	0.495	0.659	83.026	78.790
20	0.491	0.643	83.042	78.790
21	0.482	0.609	83.412	79.620
22	0.481	0.688	83.520	77.350
23	0.477	0.759	83.638	76.170
24	0.476	0.594	83.710	79.930
25	0.464	0.719	84.094	76.240
26	0.462	0.917	84.066	70.860
27	0.464	0.601	84.070	79.650
28	0.454	0.595	84.412	79.940
29	0.458	0.634	84.228	79.410
30	0.451	0.569	84.602	81.320
31	0.456	0.952	84.386	71.810
32	0.279	0.291	90.462	89.950
33	0.226	0.272	92.190	90.490
34	0.201	0.269	92.998	90.610
35	0.187	0.271	93.388	90.890
36	0.178	0.269	93.876	90.660
37	0.165	0.271	94.230	90.900
38	0.157	0.260	94.454	91.350
39	0.147	0.279	94.882	90.930
40	0.142	0.287	95.070	90.990
41	0.136	0.270	95.206	91.200
42	0.132	0.272	95.318	91.040
43	0.128	0.270	95.552	91.050
44	0.125	0.298	95.658	90.460
45	0.121	0.290	95.730	91.000
46	0.116	0.290	95.902	90.840
47	0.085	0.241	97.170	92.110
48	0.068	0.238	97.866	92.290
49	0.063	0.239	97.976	92.200
50	0.059	0.242	98.172	92.260
51	0.056	0.247	98.198	92.220
52	0.055	0.247	98.226	92.260
53	0.051	0.243	98.320	92.330
54	0.051	0.249	98.388	92.400
55	0.049	0.251	98.418	92.480
56	0.047	0.257	98.582	92.320
57	0.045	0.256	98.636	92.330
58	0.043	0.259	98.656	92.180
59	0.042	0.260	98.682	92.440
60	0.041	0.262	98.740	92.280
